date;steps_n;proteins_g;kcal_in;kcal_junk_in;kcal_out_training;sleep_hours;stress_rel;weight_kg;waist_cm
01/01/2025;14895;184;1793;300;127;6;6;85,78405445;100
02/01/2025;10633;116;1761;107;280;9;10;86,30261925;100,4700482
03/01/2025;14472;147;2559;291;188;8;7;86,25111617;99,47811598
04/01/2025;12810;104;2521;33;142;9;10;86,75044658;100,0883148
05/01/2025;14093;126;2493;452;88;8;6;86,14267109;100,0602734
06/01/2025;10042;100;2513;173;199;6;9;86,17312754;100,4940221
07/01/2025;13933;166;2263;487;118;7;7;85,37970748;100,0693558
08/01/2025;11393;114;1846;229;84;8;10;86,17377678;101,0319485
09/01/2025;11147;102;2145;240;126;7;10;85,48560992;100,5542834
10/01/2025;8243;158;2535;114;118;9;8;85,59292593;100,6328433
11/01/2025;13798;154;1936;203;295;9;10;85,30665676;100,4781976
12/01/2025;9284;96;2193;340;246;9;9;85,96535429;100,7325434
13/01/2025;9821;166;2558;439;146;6;6;85,78455787;100,5614573
14/01/2025;11070;108;2264;383;62;6;7;86,23331655;100,8799783
15/01/2025;14883;189;2505;241;280;6;3;85,79647709;100,4564685
16/01/2025;14544;170;2199;357;271;9;4;85,8701061;101,1783784
17/01/2025;13051;162;1951;200;141;7;5;85,48698663;100,3431492
18/01/2025;8603;92;2406;210;273;6;10;86,24022626;101,1714134
19/01/2025;13995;99;2370;436;59;8;6;85,52856746;100,6149074
20/01/2025;11518;141;2563;97;116;6;10;86,35128329;101,4611199
21/01/2025;13436;99;2335;362;40;8;2;85,6052393;101,0635926
22/01/2025;11127;179;1990;26;32;6;6;86,51932847;101,8455583
23/01/2025;13039;186;2419;240;264;6;5;86,50733304;101,0687555
24/01/2025;13486;185;2647;28;93;6;7;86,62783718;101,5406813
25/01/2025;9305;173;1706;398;267;7;4;86,60869842;100,7498055
26/01/2025;9189;101;2249;206;159;9;7;87,49717417;100,7579844
27/01/2025;12058;157;1811;287;155;9;1;86,9177666;100,0382777
28/01/2025;10828;154;2495;385;182;9;2;87,19650497;100,3894875
29/01/2025;8049;92;2202;49;28;6;7;86,67105602;99,44607985
30/01/2025;14908;116;2372;123;106;9;10;87,62519698;100,3554724
31/01/2025;11689;164;1866;392;29;9;1;87,52190959;99,75037128
